timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730590805974,275,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-200,text,true,,1208,191,4,9,https://api.clickup.com/api/v2/user,265,0,143
1730590806091,158,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-198,text,true,,1208,191,4,9,https://api.clickup.com/api/v2/user,148,0,45
1730590805991,258,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-199,text,true,,1208,191,4,9,https://api.clickup.com/api/v2/user,248,0,126
1730590806191,133,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-197,text,true,,1208,191,5,11,https://api.clickup.com/api/v2/user,133,0,52
1730590806254,126,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-198,text,true,,1208,191,5,12,https://api.clickup.com/api/v2/user,126,0,42
1730590806254,148,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-200,text,true,,1208,191,6,14,https://api.clickup.com/api/v2/user,148,0,47
1730590806254,149,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-199,text,true,,1207,191,6,14,https://api.clickup.com/api/v2/user,149,0,49
1730590806290,128,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-196,text,true,,1208,191,6,14,https://api.clickup.com/api/v2/user,128,0,41
1730590806325,147,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-197,text,true,,1207,191,6,15,https://api.clickup.com/api/v2/user,147,0,55
1730590806381,132,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-198,text,true,,1208,191,7,17,https://api.clickup.com/api/v2/user,132,0,46
1730590806391,158,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-195,text,true,,1208,191,7,18,https://api.clickup.com/api/v2/user,158,0,39
1730590806403,147,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-200,text,true,,1208,191,7,18,https://api.clickup.com/api/v2/user,147,0,42
1730590806404,167,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-199,text,true,,1208,191,7,18,https://api.clickup.com/api/v2/user,167,0,40
1730590806418,155,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-196,text,true,,1208,191,7,18,https://api.clickup.com/api/v2/user,155,0,57
1730590806473,171,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-197,text,true,,1208,191,8,20,https://api.clickup.com/api/v2/user,171,0,82
1730590806489,173,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 1-194,text,true,,1208,191,8,21,https://api.clickup.com/api/v2/user,173,0,91
